District,Station,Station_Abbr,Crop_Year,Start_Year,End_Year,Start_Date,End_Date,Total_Days,Available_Days,Completeness_Pct,RAINFALL_MM_Total,RAINFALL_MM_Count,EVAPORATION_MM_Total,EVAPORATION_MM_Count,EVAPOTRANSPIRATION_MM_Total,EVAPOTRANSPIRATION_MM_Count,SUNSHINE_HOURS_Mean,SUNSHINE_HOURS_Count,MAX_TEMP_C_Mean,MAX_TEMP_C_Count,MIN_TEMP_C_Mean,MIN_TEMP_C_Count,MEAN_TEMP_C_Mean,MEAN_TEMP_C_Count,RH_0700_PERCENT_Mean,RH_0700_PERCENT_Count,RH_1400_PERCENT_Mean,RH_1400_PERCENT_Count,Core_Weather_Completeness_Pct,Heat_Days_Tmax_ge_35C,Heat_Days_Tmax_ge_38C,Dry_Days_Rain_lt_1mm,Heavy_Rain_Days_Rain_ge_50mm,Drought_Index,Moisture_Adequacy_Index,Water_Balance_mm
Solapur,Solapur,SLP,1999-2000,1999,2000,1999-10-01,2000-09-30,366,92,25.136612021857925,91.6,92,763.0,92,119.69999999999999,91,6.052173913043478,92,31.417391304347827,92,16.31847826086957,92,23.867391304347827,92,76.55434782608695,92,43.15217391304348,92,25.136612021857925,0,0,86,0,-0.8799475753604193,0.7652464494569758,-791.0999999999999
Solapur,Solapur,SLP,2000-2001,2000,2001,2000-10-01,2001-09-30,365,0,0.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,,0,0.0,0,0,0,0,,,0.0
Solapur,Solapur,SLP,2001-2002,2001,2002,2001-10-01,2002-09-30,365,272,74.52054794520548,556.6,272,2105.0,272,364.4,265,7.228308823529411,272,35.14264705882353,272,21.69446494464945,271,28.447232472324725,271,73.5404411764706,272,47.99261992619926,271,74.24657534246575,134,85,220,1,-0.735581947743468,1.5274423710208564,-1912.8000000000002
Solapur,Solapur,SLP,2002-2003,2002,2003,2002-10-01,2003-09-30,365,328,89.86301369863014,402.40000000000003,328,2570.3,328,478.29999999999995,325,7.4850609756097555,328,35.09024390243902,328,20.84325153374233,326,27.92957317073171,328,70.26219512195122,328,39.63109756097561,328,89.31506849315069,142,74,292,0,-0.843442399719877,0.8413129834831697,-2646.2
Solapur,Solapur,SLP,2003-2004,2003,2004,2003-10-01,2004-09-30,366,365,99.72677595628416,606.4000000000001,365,2610.0,365,141.6,141,7.645753424657535,365,34.56821917808219,365,20.41835616438356,365,27.49260273972603,365,70.20821917808219,365,41.78082191780822,365,99.72677595628416,131,86,312,1,-0.7676628352490421,4.282485875706215,-2145.2
Solapur,Solapur,SLP,2004-2005,2004,2005,2004-10-01,2005-09-30,365,327,89.58904109589041,692.7,327,2425.0,327,158.90000000000003,101,6.961162079510704,327,34.4262996941896,327,20.797859327217125,327,27.611620795107033,327,74.37614678899082,327,46.883792048929664,327,89.58904109589041,129,84,267,1,-0.7143505154639175,4.359345500314663,-1891.2
Solapur,Solapur,SLP,2005-2006,2005,2006,2005-10-01,2006-09-30,365,365,100.0,602.3000000000001,365,2529.1000000000004,365,574.3,364,7.345753424657533,365,34.06931506849315,365,19.65616438356164,365,26.880000000000003,365,73.41643835616438,365,44.441095890410956,365,100.0,122,70,310,0,-0.7618520422284607,1.048755006094376,-2501.1000000000004
Solapur,Solapur,SLP,2006-2007,2006,2007,2006-10-01,2007-09-30,365,365,100.0,652.7,365,2441.0,365,565.9000000000001,362,6.953150684931507,365,34.332328767123286,365,20.481643835616435,365,27.428493150684936,365,73.67123287671232,365,43.47123287671233,365,100.0,123,87,315,3,-0.7326095862351495,1.1533839901042586,-2354.2
Solapur,Solapur,SLP,2007-2008,2007,2008,2007-10-01,2008-09-30,366,366,100.0,612.3000000000001,366,2449.9,366,443.3,365,6.856830601092897,366,34.46229508196721,366,19.969398907103823,366,27.239071038251367,366,71.89071038251366,366,40.97540983606557,366,100.0,150,58,321,2,-0.7500714314869994,1.3812316715542523,-2280.9
Solapur,Solapur,SLP,2008-2009,2008,2009,2008-10-01,2009-09-30,365,365,100.0,869.4000000000001,365,2331.4,365,530.2,362,7.263013698630137,365,34.94191780821917,365,20.214246575342468,365,27.603013698630132,365,68.3972602739726,365,38.24657534246575,365,100.0,153,90,319,4,-0.6270910182722828,1.6397585816672955,-1992.2
Solapur,Solapur,SLP,2009-2010,2009,2010,2009-10-01,2010-09-30,365,365,100.0,1080.1,365,2137.7,365,482.80000000000007,349,6.542699724517906,363,34.087671232876716,365,20.695616438356165,365,27.41780821917808,365,74.8027397260274,365,46.26575342465753,365,100.0,122,88,293,4,-0.4947373345184076,2.2371582435791213,-1540.4
Solapur,Solapur,SLP,2010-2011,2010,2011,2010-10-01,2011-09-30,365,365,100.0,696.9,365,2130.1,365,401.09999999999997,363,6.8561643835616435,365,33.86054794520548,365,20.09780821917808,365,27.002739726027396,365,73.71232876712328,365,41.81095890410959,365,100.0,110,67,310,2,-0.6728322613961786,1.7374719521316382,-1834.2999999999997
Solapur,Solapur,SLP,2011-2012,2011,2012,2011-10-01,2012-09-30,366,366,100.0,488.0,366,2396.7,366,463.5,364,7.088524590163935,366,34.956010928961746,366,20.26666666666667,366,27.628142076502737,366,67.94535519125684,366,39.09836065573771,366,100.0,146,86,325,1,-0.796386698376935,1.0528586839266452,-2372.2
